n,author,title,editorial,pages,genre,subgenre,code
307,CLIVE STAPLES LEWIS,LAS CRÓNICAS DE NARNIA: LA SILLA DE PLATA,HARPER COLLINS,299,INFANTIL,,BL1407
308,WILLIAM SHAKESPEARE,OTELO,OLIMPO,128,TEATRO,,BL1408
309,CARE SANTOS,INSEPARABLES PARA SIEMPRE: PROHIBIDO ENAMORARSE,EDICIONES B,171,JUVENIL,,BL1409
310,DANTE ALIGHIERI,LA DIVINA COMEDIA,CENTRO GRÁFICO,373,CLÁSICOS Y CUENTOS,PRESTADO GABRIEL HIZAUT,BL1410
311,MARCELA PAZ,PAPELUCHO MISIONERO,UNIVERSITARIA,120,INFANTIL,,BL1411
312,MIGUEL DE CERVANTES,DON QUIJOTE DE LA MANCHA,ZIG-ZAG,223,CLÁSICOS Y CUENTOS,,BL1412
313,ISABEL ALLENDE,LA CASA DE LOS ESPÍRITUS,COPESA EDITORIAL,412,NOVELA,,BL1413
314,WILLIAM SHAKESPEARE,ROMEO Y JULIETA,EDISUR,103,TEATRO,,BL1414
315,MARY SHELLEY,FRANKENSTEIN,PORTADA,160,CLÁSICOS Y CUENTOS,,BL1415
316,OSCAR WILDE,EL FANTASMA DE CANTERVILLE,ZIG-ZAG,104,CLÁSICOS Y CUENTOS,,BL1416
317,IVÁN MUÑOZ/ISABEL HERNÁNDEZ,HISTORIA DE TÍTERES Y TITIRITEROS,EDICIONES LUCIÉRNAGA MÁGICA,227,MISCELÁNEAS LITERARIAS,,BL1417
318,MIGUEL DE UNAMUNO,NIEBLA,COLICHEUQUE,80,NOVELA,,BL1418
319,GENARO PRIETO,EL SOCIO,TACORA,128,JUVENIL,,BL1419
320,GUSTAVO ADOLFO BÉCKER,RIMAS Y LEYENDAS,CENTRO GRÁFICO,124,POESÍA/CUENTOS,,BL1420
321,ALBERT CAMUS,EL EXTRANJERO,PLANETA,111,NOVELA,,BL1421
322,LEE STROBEL,TRECE ESCANDALOSAS AFIRMACIONES DE DIOS,VIDA,383,RELIGIÓN,,BL1422
323,ROBERTO AMPUERO,EL HOMBRE GOLONDRINA,EDISUR,175,NOVELA,,BL1423
324,FERNANDO CUADRA,LA NIÑA EN LA PALOMERA,SIN EDITORIAL,130,TEATRO,,BL1424
325,ALEJANDRO BULLÓN,SEÑALES DE ESPERANZA,ASOCIACIÓN CASA EDITORA SUDAMERICANA,140,RELIGIÓN,,BL1425
326,PAULO COELHO,LA QUINTA MONTAÑA,GRIJALBO,224,NOVELA,,BL1426
327,JAIME HUENÚN VILLA,ANTOLOGÍA DE POESÍA INDÍGENA LATINOAMERICANA: LOS CANTOS OCULTOS,LOM,215,POESÍA,,BL1427
328,MANUEL ROJAS,HIJO DE LADRÓN,ZIG-ZAG,286,NOVELA,,BL1428
329,WILLIAM SHAKESPEARE,HAMLET,ANDRÉS BELLO,200,TEATRO,,BL1429
330,GABRIEL GARCÍA MÁRQUEZ,CRÓNICA DE UNA MUERTE ANUNCIADA,SUDAMERICANA,193,NOVELA,,BL1430
331,HERMANN HESSE,DEMIAN,ALBA EDITORES,158,CLÁSICOS Y CUENTOS,,BL1431
332,HERMANN HESSE,DEMIAN,ARGONAUTA,157,CLÁSICOS Y CUENTOS,,BL1432
333,CHARLES DICKENS,OLIVER TWIST,TEXIDO,80,CLÁSICOS Y CUENTOS,(*) DATOS PERSONALES,BL1433
334,LOBSANG RAMPA,EL TERCER OJO,EDICIONES TROQUEL,255,BIOGRAFÍAS Y TESTIMONIOS,,BL1434
335,SATSVARÜPA DÄSA GOSWAMI,LA FUENTE DE LA SABIDURÍA,THE BHAKTIVEDANTA BOOK TRUST,66,FILOSOFÍA Y PSICOLOGÍA,,BL1435
336,MARCELA PAZ/ALICIA MOREL,PERICO TREPA POR CHILE,UNIVERSITARIA,183,INFANTIL,,BL1436
337,ANDREU MARTÍN/JAUME RIBERA,NO PIDAS SARDINA FUERA DE TEMPORADA,ALFAGUARA,178,JUVENIL,,BL1437
338,VARIOS AUTORES,ACÉFALOS: REFLEXIONES FILOSÓFICAS DESDE EL BARRO,ER TUFO,144,REVISTA,,BL1438
339,JOAQUÍN EDWARDS BELLO,EN EL VIEJO ALMENDRAL: TOMO I,ANDRÉS BELLO,190,NOVELA,,BL1439
340,WILLIAM SHAKESPEARE,HAMLET Y EL MERCADER DE VENECIA,ERCILLA,250,TEATRO,,BL1440
341,ROALD DAHL,EL SUPERZORRO,ALFAGUARA,161,INFANTIL,,BL1441
342,MICHAEL COLEMAN,DETECTIVES DE INTERNET: CIBERDOMINIO,EDICIONES B,149,JUVENIL,,BL1442
343,PAULO COELHO,EL ALQUIMISTA,GRIJALBO,236,NOVELA,,BL1443
344,HÉCTOR HIDALGO,LOS CUENTOS DE LA CIUDAD DORMIDA,ARRAYÁN EDITORES,75,INFANTIL,,BL1444
345,DAVID GONZÁLEZ GAJARDO,CUBA: AZÚCAR AMARGA,ERCILLA,263,NOVELA,,BL1445
346,VARIOS AUTORES,LEYENDAS CHILENAS,ANDRÉS BELLO,77,CLÁSICOS Y CUENTOS,,BL1446
347,VARIOS AUTORES,4 CUENTOS DE ANIMALES,PUBLICACIONES FHER,46,INFANTIL,,BL1447
348,MIGUEL DE UNAMUNO,NIEBLA,ERCILLA,189,NOVELA,,BL1448
349,MARÍA LUISA BOMBAL,LA AMORTAJADA,UNIVERSITARIA,96,NOVELA,,BL1449
350,VARIOS AUTORES,"¿CRISIS ALIMENTARIA MUNDIAL? ALIMENTOS Y COMIDA ""CHATARRA"": ENTRE DESNUTRICIÓN Y OBESIDAD",AÚN CREEMOS EN LOS SUEÑOS,68,ENSAYOS,,BL1450
