"n","author","title","editorial","pages","genre","subgenre","code"
"","THOMAS PYNCHON","VINELAND","TUSQUETS EDITORES","362","NOVELA","","BL1517"
"","JOHN GRISHAM","EL CLIENTE","BOOKET","418","NOVELA","POLICIAL","BL1518"
"","JOHANNA SPYRI","HEIDI","FELICIDAD","128","CLÁSICOS Y CUENTOS","","BL1519"
"","VARIOS AUTORES","LA VIDA","WATCHTOWER BIBLE AND TRACT SOCIETY OF NEW YORK, INC.","251","EDUCACIÓN","","BL1520"
"","MARIO VARGAS LLOSA","LA CIUDAD Y LOS PERROS","SANTILLANA","554","NOVELA","","BL1521"
"","GABRIEL GARCÍA MÁRQUEZ","EL OTOÑO DEL PATRIARCA","CLUB BRUGUERA","344","NOVELA","","BL1522"
"","JACQUELINE MIRANDE","EL PAPAGAYO AZUL","NORMA","169","JUVENIL","","BL1523"
"","GABRIEL GARCÍA MÁRQUEZ","DEL AMOR Y OTROS DEMONIOS","SUDAMERICANA","169","NOVELA","","BL1524"
"","HERBERT GEORGE WELLS","LA GUERRA DE LOS MUNDOS","EDICIONES TAIMÍ","191","CLÁSICOS Y CUENTOS","","BL1525"
"","JACQUELINE BALCELLS/ANA MARÍA GÜIRALDES","EMILIA, INTRIGA EN QUINTAY","ANDRÉS BELLO","92","JUVENIL","","BL1526"
"","VARIOS AUTORES","HISTORIA DE CHILE PARA ESCOLARES, VOLUMEN 21","LORD COCHRANE","64","EDUCACIÓN","","BL1527"
"","ANÓNIMO","LAZARILLO DE TORMES","EDITORA JURÍDICA MANUEL MONTT","82","CLÁSICOS Y CUENTOS","","BL1528"
"","LEÓN TOLSTOI","LOS COSACOS","ANDRÉS BELLO","149","NOVELA","","BL1529"
"","DANIEL HOJMAN","MÓNOLOGO DE UN ANIMAL","SURADA","57","POESÍA","","BL1530"
"","RICARDO MARIÑO","LO ÚNICO DEL MUNDO","NORMA","172","JUVENIL","","BL1531"
"","VARIOS AUTORES","CUENTROS BREVES PARA LEER EN EL COLECTIVO","NORMA","199","CLÁSICOS Y CUENTOS","","BL1532"
"","VARIOS AUTORES","LA BIBLIA DEL NIÑO","VERBO DIVINO","62","RELIGIÓN","","BL1533"
"","SID FLEISCHMAN","LA MARAVILLOSA GRANJA DE MCBROOM","ALFAGUARA","107","INFANTIL","","BL1534"
"","MÁXIMO GORKI","CUENTOS DE REBELDES Y VAGABUNDOS","QUIMANTÚ","146","CLÁSICOS Y CUENTOS","","BL1535"
"","WALTER SCOTT","IVANHOE","PROSA","128","CLÁSICOS Y CUENTOS","","BL1536"
"","LAURA ESQUIVEL","COMO AGUA PARA CHOCOLATE","RANDOM HOUSE MONDADORI","210","NOVELA","","BL1537"
"","VARIOS AUTORES","IZQUIERDISMO EN LA IGLESIA","SOCIEDAD CULTURAL COVANDONGA","362","RELIGIÓN","","BL1538"
"","JOSÉ LUIS ROSASCO","DÓNDE ESTÁS, CONSTANZA...","ANDRÉS BELLO","116","JUVENIL","","BL1539"
"","MIGUEL DE UNAMUNO","LA TÍA TULA","PROSA","96","NOVELA","","BL1540"
"","MEG CABOT","EL DIARIO DE LA PRINCESA","RANDOM HOUSE MONDADORI","236","JUVENIL","","BL1541"
"","ENRIQUE BARRIOS","AMI Y PERLITA","ERREPAR","87","INFANTIL","","BL1542"
"","FRANCIS SCOTT FITZGERALD","EL GRAN GATSBY","ANDRÉS BELLO","172","NOVELA","","BL1543"
"","GUY DE MAUPASSANT","PEDRO Y JUAN","PORTADA","155","CLÁSICOS Y CUENTOS","","BL1544"
"","CARLOS CERDA","SOMBRAS QUE CAMINAN","ALFAGUARA","294","NOVELA","","BL1545"
"","LOUISA MAY ALCOTT","HOMBRECITOS","COLICHEUQUE","80","CLÁSICOS Y CUENTOS","","BL1546"
"","ALBERTO FUGUET","SOBREDOSIS","PLANETA","122","NOVELA","","BL1547"
"","MARCELA PAZ","PAPELUCHO PERDIDO","UNIVERSITARIA","98","INFANTIL","","BL1548"
"","VARIOS AUTORES","RELATOS MARAVILLOSOS DE ADAS Y DUENDES","ANDRÉS BELLO","76","INFANTIL","","BL1549"
"","LUIS SEPÚLVEDA","MUNDO DEL FIN DEL MUNDO","TUSQUETS EDITORES","145","NOVELA","","BL1550"
"","IRINA DROZD","LA SILLA VACÍA","NORMA","126","INFANTIL","","BL1551"
"","NICOLAI BERDIAEF","EL DESTINO DEL HOMBRE CONTEMPORÁNEO","EDITORIAL DEL NUEVO EXTREMO","170","ENSAYOS","","BL1552"
"","MARK TWAIN","EL PRÍNCIPE Y EL MENDIGO","ANDRÉS BELLO","223","CLÁSICOS Y CUENTOS","","BL1553"
